Key,en,es,ar,fr
Send Code,Send Code,Enviar código,إرسال الرمز,Envoyer le code
Password Reset,Password Reset,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialisation du mot de passe
Reset your password,Reset your password,Restablecer su contraseña,إعادة تعيين كلمة المرور الخاصة بك,Réinitialiser votre mot de passe
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,Por favor revise su dirección de correo electrónico para obtener la OTP (contraseña de un solo uso).,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة مرور لمرة واحدة).,Veuillez vérifier votre adresse e-mail pour obtenir l'OTP (mot de passe à usage unique).
Login Information,Login Information,Información de inicio de sesión,معلومات تسجيل الدخول,Informations de connexion
Please input your username and password and login to your account to get access to your dashboard.,Please input your username and password and login to your account to get access to your dashboard.,Ingrese su nombre de usuario y contraseña e inicie sesión en su cuenta para obtener acceso a su panel de control.,يرجى إدخال اسم المستخدم وكلمة المرور وتسجيل الدخول إلى حسابك للوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir votre nom d'utilisateur et votre mot de passe et vous connecter à votre compte pour accéder à votre tableau de bord.
Or,Or,O,أو,Ou
Please input your details and register to your account to get access to your dashboard.,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,يرجى إدخال تفاصيلك والتسجيل في حسابك للحصول على إمكانية الوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir vos coordonnées et vous inscrire à votre compte pour accéder à votre tableau de bord.
I have read agreed with the,I have read agreed with the,He leído y estoy de acuerdo con el,لقد قرأت موافق عليه,J'ai lu et je suis d'accord avec le
"Terms Of Use , Privacy Policy & Warning","Terms Of Use , Privacy Policy & Warning","Condiciones de uso, política de privacidad y advertencias",شروط الاستخدام وسياسة الخصوصية والتحذيرات,"Conditions d'utilisation, politique de confidentialité et avertissement"
Register Now,Register Now,Regístrate ahora,سجل الآن,Inscrivez-vous maintenant
Already Have An Account,Already Have An Account,Ya tengo una cuenta,هل لديك حساب بالفعل,Vous avez déjà un compte
KYC Information,KYC Information,Información KYC,معلومات اعرف عميلك,Informations KYC
Your KYC information is rejected.,Your KYC information is rejected.,Su información KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.,Vos informations KYC sont rejetées.
Verify KYC,Verify KYC,Verificar KYC,التحقق من KYC,Vérifier KYC
Please verify KYC information,Please verify KYC information,Por favor verifique la información KYC,يرجى التحقق من معلومات KYC,Veuillez vérifier les informations KYC
Get Support,Get Support,Obtener soporte,احصل على الدعم,Obtenir de l'aide
Fill up information and verify your KYC.,Fill up information and verify your KYC.,Complete la información y verifique su KYC.,قم بملء المعلومات والتحقق من KYC الخاص بك.,Remplissez les informations et vérifiez votre KYC.
Profile Settings,Profile Settings,Configuración del perfil,إعدادات الملف الشخصي,Paramètres du profil
Change,Change,Cambiar,يتغير,Changement
Support Tickets,Support Tickets,Tickets de soporte,تذاكر الدعم,Tickets d'assistance
Add New Ticket,Add New Ticket,Agregar nuevo ticket,إضافة تذكرة جديدة,Ajouter un nouveau ticket
Search,Search,Buscar,يبحث,Recherche
"Transfer Money Charges
",Transfer Money Charges,Cargos por transferencia de dinero,رسوم تحويل الأموال,Frais de transfert d'argent
"Exchange Money Charges
","Exchange Money Charges
",Cargos por cambio de moneda,رسوم صرف العملات,Frais de change
"Add Money Charge
",Add Money Charge,Añadir cargo por dinero,إضافة رسوم مالية,Ajouter des frais d'argent
"Money Out Charges
",Money Out Charges,Cargos por retiro de dinero,رسوم سحب الأموال,Frais de retrait d'argent
Android App URL,Android App URL,URL de la aplicación de Android,عنوان URL لتطبيق Android,URL de l'application Android
iOS App URL,iOS App URL,URL de la aplicación iOS,عنوان URL لتطبيق iOS,URL de l'application iOS
From Address,From Address,Dirección de remitente,من العنوان,Adresse de l'expéditeur
(Max 5),(Max 5),(Máximo 5),(الحد الأقصى 5),(Max 5)
Announcement Category,Announcement Category,Categoría de anuncio,فئة الإعلان,Catégorie d'annonce
category?,category?,¿categoría?,فئة؟,catégorie?
Remove,Remove,Eliminar,يزيل,Retirer
Category added successfully!,Category added successfully!,¡Categoría agregada exitosamente!,تمت إضافة الفئة بنجاح!,Catégorie ajoutée avec succès !
Category updated successfully!,Category updated successfully!,¡Categoría actualizada exitosamente!,تم تحديث الفئة بنجاح!,Catégorie mise à jour avec succès !
Category status updated successfully!,Category status updated successfully!,¡Estado de la categoría actualizado exitosamente!,تم تحديث حالة الفئة بنجاح!,Le statut de la catégorie a été mis à jour avec succès !
Category deleted successfully!,Category deleted successfully!,¡Categoría eliminada exitosamente!,تم حذف الفئة بنجاح!,Catégorie supprimée avec succès !
Add Announcement,Add Announcement,Agregar anuncio,إضافة إعلان,Ajouter une annonce
Are you sure to delete this announcement?,Are you sure to delete this announcement?,¿Estás seguro de eliminar este anuncio?,هل أنت متأكد من حذف هذا الإعلان؟,Êtes-vous sûr de vouloir supprimer cette annonce ?
Create New Announcement,Create New Announcement,Crear nuevo anuncio,إنشاء إعلان جديد,Créer une nouvelle annonce
Select Category,Select Category,Seleccionar categoría,اختر الفئة,Sélectionnez une catégorie
Announcement title is similar. Please update/change this title,Announcement title is similar. Please update/change this title,"El título del anuncio es similar. Por favor, actualícelo o cámbielo.",عنوان الإعلان مشابه. يُرجى تحديث/تغيير هذا العنوان.,Le titre de l'annonce est similaire. Veuillez le mettre à jour/modifier.
Announcement created successfully!,Announcement created successfully!,¡Anuncio creado exitosamente!,تم إنشاء الإعلان بنجاح!,Annonce créée avec succès !
Announcement status updated successfully!,Announcement status updated successfully!,¡El estado del anuncio se actualizó correctamente!,تم تحديث حالة الإعلان بنجاح!,Le statut de l'annonce a été mis à jour avec succès !
Announcement deleted successfully!,Announcement deleted successfully!,¡Anuncio eliminado exitosamente!,تم حذف الإعلان بنجاح!,Annonce supprimée avec succès !
Announcement does't exists!,Announcement does't exists!,¡El anuncio no existe!,الإعلان غير موجود!,L'annonce n'existe pas !
Announcement Edit,Announcement Edit,Anuncio Editar,تعديل الإعلان,Annonce Modifier
Announcement updated successfully!,Announcement updated successfully!,¡Anuncio actualizado exitosamente!,تم تحديث الإعلان بنجاح!,Annonce mise à jour avec succès !
Add Tags,Add Tags,Agregar etiquetas,إضافة علامات,Ajouter des balises
Minimum,Minimum,Mínimo,الحد الأدنى,Minimum
Maximum,Maximum,Máximo,الحد الأقصى,Maximum
Fixed,Fixed,Fijado,مُثَبَّت,Fixé
Percent,Percent,Por ciento,النسبة المئوية,Pour cent
Input Text,Input Text,Texto de entrada,إدخال النص,Texte d'entrée
File,File,Archivo,ملف,Déposer
Textarea,Textarea,Área de texto,منطقة النص,Zone de texte
Select,Select,Seleccionar,يختار,Sélectionner
* (Use for make page link (URL)),* (Use for make page link (URL)),* (Utilizar para crear un enlace a la página (URL)),* (استخدم لإنشاء رابط الصفحة (URL)),* (Utiliser pour créer un lien de page (URL))
Supported Currency,Supported Currency,Moneda admitida,العملة المدعومة,Devise prise en charge
Enabled Currency,Enabled Currency,Moneda habilitada,العملة الممكّنة,Devise activée
Currency Type,Currency Type,Tipo de moneda,نوع العملة,Type de devise
Gateway Name,Gateway Name,Nombre de la puerta de enlace,اسم البوابة,Nom de la passerelle
Gateway Title,Gateway Title,Título de puerta de enlace,عنوان البوابة,Titre de la passerelle
Supported Currencies,Supported Currencies,Monedas admitidas,العملات المدعومة,Devises prises en charge
Currency Code,Currency Code,Código de moneda,رمز العملة,Code de devise
Currency Symbol,Currency Symbol,Símbolo de moneda,رمز العملة,Symbole monétaire
Are you sure to delete this,Are you sure to delete this,¿Estás seguro de eliminar esto?,هل أنت متأكد من حذف هذا؟,Êtes-vous sûr de vouloir supprimer ceci
gatewayt,gateway,puerta,بوابة,porte
Production,Production,Producción,إنتاج,Production
Sandbox,Sandbox,Salvadera,صندوق الرمل,Bac à sable
"Client ID
",Client ID,ID de cliente,معرف العميل,ID client
"Secret ID
",Secret ID,Identificación secreta,معرف سري,ID secret
Gateway Environment,Gateway Environment,Entorno de puerta de enlace,بيئة البوابة,Environnement de passerelle
Instruction,Instruction,Instrucción,تعليمات,Instruction
ex: Paypal,ex: Paypal,ej.: Paypal,مثال: باي بال,ex: Paypal
ex: United State Dollar,ex: United State Dollar,ej.: dólar estadounidense,مثال: الدولار الأمريكي,ex : dollar des États-Unis
ex: USD,ex: USD,ej.: USD,مثال: الدولار الأمريكي,ex: USD
ex: $,ex: $,ej: $,مثال: $,ex: $
SSL,SSL,SSL,SSL,SSL
TLS,TLS,TLS,بروتوكول TLS,TLS
LTR,LTR,Largo plazo,LTR,LTR
RTL,RTL,RTL,ار تي ال,RTL
,,#VALUE!,#VALUE!,#VALUE!
Billing details,Billing details,Detalles de facturación,تفاصيل الفواتير,Détails de facturation
Select Delivery Time,Select Delivery Time,Seleccione la hora de entrega,حدد وقت التسليم,Sélectionnez l'heure de livraison
Select Delivery Date,Select Delivery Date,Seleccione la fecha de entrega,حدد تاريخ التسليم,Sélectionnez la date de livraison
Email,Email,Correo electrónico,بريد إلكتروني,E-mail
Order notes,Order notes,Notas de pedido,ملاحظات الطلب,Notes de commande
Your Order Details,Your Order Details,Detalles de su pedido,تفاصيل طلبك,Détails de votre commande
Subtotal,Subtotal,Total parcial,المجموع الفرعي,Total
Delivery Charge,Delivery Charge,Cargo por envío,رسوم التوصيل,Frais de livraison
Add reusable bags?,Add reusable bags?,¿Añadir bolsas reutilizables?,إضافة أكياس قابلة لإعادة الاستخدام؟,Ajouter des sacs réutilisables ?
Total Cost,Total Cost,Costo total,التكلفة الإجمالية,Coût total
Payment Methods,Payment Methods,Métodos de pago,طرق الدفع,Modes de paiement
Cash on delivery,Cash on delivery,Pago contra reembolso,الدفع عند الاستلام,Paiement à la livraison
Online Payment,Online Payment,Pago en línea,الدفع عبر الإنترنت,Paiement en ligne
Place Order,Place Order,Realizar pedido,وضع الطلب,Passer une commande
Order Details,Order Details,Detalles del pedido,تفاصيل الطلب,Détails de la commande
My Orders,My Orders,Mis pedidos,طلبياتي,Mes commandes
Show Details,Show Details,Mostrar detalles,إظهار التفاصيل,Afficher les détails
Product List,Product List,Lista de productos,قائمة المنتجات,Liste des produits
Product Image,Product Image,Imagen del producto,صورة المنتج,Image du produit
Product Name,Product Name,Nombre del producto,اسم المنتج,Nom du produit
Price,Price,Precio,سعر,Prix
Quantity,Quantity,Cantidad,كمية,Quantité
Total Amount,Total Amount,Importe total,المبلغ الإجمالي,Montant total
Separate Delivery,Separate Delivery,Entrega por separado,تسليم منفصل,Livraison séparée
Together Delivery(default),Together Delivery(default),Entrega conjunta (predeterminado),التسليم معًا (افتراضي),Livraison ensemble (par défaut)
Select Time,Select Time,Seleccionar hora,حدد الوقت,Sélectionnez l'heure
Select Date,Select Date,Seleccionar fecha,حدد التاريخ,Sélectionnez la date
token remaining ,token remaining,token restante,الرمز المتبقي,jeton restant
Wallet Balance,Wallet Balance,Saldo de la billetera,رصيد المحفظة,Solde du portefeuille
Use Wallet,Use Wallet,Usar Wallet,استخدم المحفظة,Utiliser le portefeuille
All Products Delivered Together,All Products Delivered Together,Todos los productos se entregan juntos,جميع المنتجات يتم تسليمها معًا,Tous les produits livrés ensemble
If you spend,If you spend,Si gastas,إذا كنت تنفق,Si vous dépensez
you will get,you will get,Usted obtendrá,سوف تحصل عليه,tu obtiendras
free deliveries,free deliveries,entregas gratuitas,توصيل مجاني,livraisons gratuites
Similar Items,Similar Items,Artículos similares,عناصر مماثلة,Articles similaires
Cart ,Cart ,Carrito,عربة التسوق,Panier
Total Discount,Total Discount,Descuento total,إجمالي الخصم,Remise totale
Payable Amount,Payable Amount,Monto a pagar,المبلغ المستحق,Montant à payer
Available Balance,Available Balance,Saldo disponible,الرصيد المتاح,Solde disponible
Login with Email id,Login with Email id,Iniciar sesión con ID de correo electrónico,تسجيل الدخول باستخدام معرف البريد الإلكتروني,Connectez-vous avec votre identifiant e-mail
Email id,Email id,ID de correo electrónico,معرف البريد الإلكتروني,Identifiant e-mail
Register Information,Register Information,Información de registro,معلومات التسجيل,Informations d'inscription
Please input your details and register to your account to get access to your account.,Please input your details and register to your account to get access to your account.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su cuenta.,يرجى إدخال تفاصيلك والتسجيل في حسابك للحصول على إمكانية الوصول إلى حسابك.,Veuillez saisir vos coordonnées et vous inscrire à votre compte pour accéder à votre compte.
I have read agreed with the,,#VALUE!,#VALUE!,#VALUE!
Terms & Conditions,Terms & Conditions,Términos y condiciones,الشروط والأحكام,Conditions générales
Login Now,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Connectez-vous maintenant
My Orders,My Orders,Mis pedidos,طلبياتي,Mes commandes
Id,Id,Identificación,بطاقة تعريف,Identifiant
Show Details,Show Details,Mostrar detalles,إظهار التفاصيل,Afficher les détails
Order List,Order List,Lista de pedidos,قائمة الطلبات,Liste de commandes
Shipment Type,Shipment Type,Tipo de envío,نوع الشحنة,Type d'expédition
Total,Total,Total,المجموع,Total
Shipment,Shipment ,Envío,شحنة ,Expédition 
booked,booked,reservado,تم حجزه,réservé
ready for shipping,ready for shipping,listo para envío,جاهز للشحن,prêt à être expédié
on the way,on the way,En camino,في الطريق,en route
delivered,delivered,entregado,تم التوصيل,livré
Cancelled,Cancelled,Cancelado,تم الإلغاء,Annulé
Tracking Number,Tracking Number,El número de rastreo,عدد تتبع,Numéro de suivi
Delivery Date,Delivery Date,Fecha de entrega,تاريخ التسليم او الوصول,La date de livraison
Delivery Time,Delivery Time,El tiempo de entrega,موعد التسليم,Délai de livraison
Shipping Method,Shipping Method,Método de envío,طريقة الشحن,Méthode d'expédition
Delivery Charge,Delivery Charge,Cargo por envío,رسوم التوصيل,Frais de livraison
Delivery Information,Delivery Information,Información de entrega,معلومات التسليم,Informations de livraison
Phone,Phone,Teléfono,هاتف,Téléphone
Billing Summary,Billing Summary,Resumen de facturación,ملخص الفواتير,Récapitulatif de facturation
Subtotal,Subtotal,Total parcial,المجموع الفرعي,Total
Reusable Bag,Reusable Bag,Bolsa reutilizable,حقيبة قابلة لإعادة الاستخدام,Sac réutilisable
Payment gateway Charge,Payment gateway Charge,Pasarela de pago Cargo,رسوم بوابة الدفع,Passerelle de paiement Frais
Payment Information,Payment Information,Información de pago,معلومات الدفع,Informations de paiement
Wallet Payment,Wallet Payment,Pago con billetera,الدفع عبر المحفظة,Paiement par portefeuille
Transaction ID,Transaction ID,ID de transacción,معرف المعاملة,ID de transaction
Order Date,Order Date,Fecha del pedido,تاريخ الطلب,Date de commande
Login with phone number,Login with phone number,Iniciar sesión con número de teléfono,تسجيل الدخول برقم الهاتف,Connectez-vous avec votre numéro de téléphone
Login with Google,Login with Google,Iniciar sesión con Google,تسجيل الدخول باستخدام جوجل,Connectez-vous avec Google
Enter your phone number and we'll send you a otp to login your account,Enter your phone number and we'll send you a otp to login your account,Ingresa tu número de teléfono y te enviaremos un OTP para iniciar sesión en tu cuenta,أدخل رقم هاتفك وسنرسل لك كلمة مرور لمرة واحدة لتسجيل الدخول إلى حسابك,Entrez votre numéro de téléphone et nous vous enverrons un OTP pour vous connecter à votre compte
Send OTP,Send OTP,Enviar OTP,إرسال OTP,Envoyer un OTP
Popular,Popular,Popular,شائع,Populaire
Delivery Details,Delivery Details,Detalles de la entrega,تفاصيل التسليم,Détails de livraison
Popular Brand On AdMart,Popular Brand On AdMart,Marca popular en AdMart,علامة تجارية مشهورة على AdMart,Marque populaire sur AdMart
AdMart available Play store & App store.,AdMart available Play store & App store.,AdMart disponible en Play Store y App Store.,AdMart متاح في متجر Play ومتجر التطبيقات.,AdMart disponible sur Play Store et App Store.
"The phrasal arrangement of the Lorem Ipsum text is currently and to the point that numerous the expression when found, an alert can be raised. phrasal grouping of the Lorem Ipsum text is presently and to the point that numerous the expression when found, an alert can be raised","The phrasal arrangement of the Lorem Ipsum text is currently and to the point that numerous the expression when found, an alert can be raised. phrasal grouping of the Lorem Ipsum text is presently and to the point that numerous the expression when found, an alert can be raised","La disposición frasal del texto de Lorem Ipsum es actual y al punto que numerosa la expresión cuando se encuentra, se puede generar una alerta. La disposición frasal del texto de Lorem Ipsum es actual y al punto que numerosa la expresión cuando se encuentra, se puede generar una alerta.",ترتيب العبارات في نص لوريم إيبسوم هو حاليًا وإلى الحد الذي يمكن فيه إثارة تنبيه عند العثور على العديد من العبارات. ترتيب العبارات في نص لوريم إيبسوم هو حاليًا وإلى الحد الذي يمكن فيه إثارة تنبيه عند العثور على العديد من العبارات.,"L'agencement phrastique du texte Lorem Ipsum est actuellement tel que de nombreuses expressions, lorsqu'elles sont trouvées, peuvent donner lieu à une alerte."
Download On the,Download On the,Descargar En el,تنزيل على,Télécharger sur le
App Store,App Store,Tienda de aplicaciones,متجر التطبيقات,App Store
Get it on,Get it on,Consíguelo,احصل عليه,Mettez-le
Google play,Google play,Google Play,جوجل بلاي,Google Play
Bashundhara Toilet Tissue,Bashundhara Toilet Tissue,Papel higiénico Bashundhara,ورق تواليت باشوندهارا,Papier toilette Bashundhara
(free tiffin box),(free tiffin box),(caja de tiffin gratis),(صندوق تيفين مجاني),(boîte de tiffin gratuite)
,,#VALUE!,#VALUE!,#VALUE!
Today Spacial Offer,Today Spacial Offer,Oferta especial de hoy,عرض خاص اليوم,Offre spéciale du jour
Add to bag,Add to bag,Añadir a la bolsa,أضف إلى الحقيبة,Ajouter au panier
Your Profile,Your Profile,Tu perfil,ملفك الشخصي,Votre profil
Your Orders,Your Orders,Sus pedidos,طلباتك,Vos commandes
Payment History,Payment History,Historial de pagos,سجل الدفع,Historique des paiements
Your Address,Your Address,Su dirección,عنوانك,Votre adresse
"Notes about your order, e.g. special notes for delivery.","Notes about your order, e.g. special notes for delivery.","Notas sobre su pedido, por ejemplo, notas especiales para la entrega.",ملاحظات حول طلبك، على سبيل المثال ملاحظات خاصة بالتسليم.,"Remarques sur votre commande, par exemple des remarques spéciales pour la livraison."
Save,Save,Ahorrar,يحفظ,Sauvegarder
House number and street name,House number and street name,Número de casa y nombre de la calle,رقم المنزل واسم الشارع,Numéro de maison et nom de rue
"Shipment Details","Shipment Details",Detalles del envío,تفاصيل الشحنة,Détails de l'expédition
Order Status,Order Status,Estado del pedido,حالة الطلب,Statut de la commande
Order Number,Order Number,Número de orden,رقم الطلب,Numéro de commande
Payment ,Payment ,Pago ,قسط ,Paiement 
Date,Date,Fecha,تاريخ,Date
E-commerce,E-commerce,Comercio electrónico,التجارة الإلكترونية,Commerce électronique
Products,Products,Productos,منتجات,Produits
Order,Order,Orden,طلب,Commande
Setup Social Auth,Setup Social Auth,Configurar la autenticación social,إعداد المصادقة الاجتماعية,Configurer l'authentification sociale
System Maintenance,System Maintenance,Mantenimiento del sistema,صيانة النظام,Maintenance du système
Setup Sms,Setup Sms,Configurar SMS,إعداد الرسائل القصيرة,Configuration des SMS
Unit,Unit,Unidad,وحدة,Unité
Delivery,Delivery,Entrega,توصيل,Livraison
Sub Category,Sub Category,Subcategoría,الفئة الفرعية,Sous-catégorie
Area,Area,Área,منطقة,Zone
Booked Logs,Booked Logs,Registros reservados,السجلات المحجوزة,Journaux réservés
Ready For Shipment,Ready For Shipment,Listo para envío,جاهز للشحن,Prêt à être expédié
On The Way,On The Way,En camino,في الطريق,En route
Delivered,Delivered,Entregado,تم التوصيل,Livré
User Panel,User Panel,Panel de usuario,لوحة المستخدم,Panneau utilisateur
Sms Method,Sms Method,Método SMS,طريقة الرسائل القصيرة,Méthode SMS
Setup Delivery,Setup Delivery,Configuración de entrega,إعداد التسليم,Livraison de l'installation
Add Unit,Add Unit,Agregar unidad,إضافة وحدة,Ajouter une unité
Status,Status,Estado,حالة,Statut
Order ID,Order ID,ID del pedido,معرف الطلب,ID de commande
P. Method,P. Method,P. Método,طريقة P.,P. Méthode
Status	,Status	,Estado	,حالة	,Statut	
Payment Method,Payment Method,Método de pago,طريقة الدفع,Mode de paiement
Total Payable Price,Total Payable Price,Precio total a pagar,إجمالي السعر المستحق,Prix total à payer
Payment Currency,Payment Currency,Moneda de pago,عملة الدفع,Devise de paiement
Payment Status,Payment Status,Estado del pago,حالة الدفع,Statut de paiement
Payment Type,Payment Type,Tipo de pago,نوع الدفع,Type de paiement
Remark,Remark,Observación,ملاحظة,Remarque
Shipping Information,Shipping Information,Información de envío,معلومات الشحن,Informations d'expédition
Delivery Days,Delivery Days,Días de entrega,أيام التسليم,Jours de livraison
Additional Information,Additional Information,información adicional,معلومات إضافية,Informations Complémentaires
Updated At,Updated At,Actualizado en,تم التحديث في,Mis à jour à
Accept,Accept,Aceptar,يقبل,Accepter
Total Products,Total Products,Total de productos,إجمالي المنتجات,Total des produits
Total Order,Total Order,Pedido total,إجمالي الطلب,Commande totale
Total Stock,Total Stock,Stock total,إجمالي المخزون,Stock total
Total Support Ticket,Total Support Ticket,Ticket de soporte total,تذكرة الدعم الكامل,Ticket d'assistance total
Total Order Money,Total Order Money,Dinero total del pedido,إجمالي مبلغ الطلب,Montant total de la commande
Order Analytics,Order Analytics,Análisis de pedidos,تحليلات الطلبات,Analyse des commandes
,,#VALUE!,#VALUE!,#VALUE!
appLRestart,Restart,Reanudar,إعادة تشغيل,Redémarrage
appLServerError,Server Error,Error del servidor,خطأ في الخادم,Erreur du serveur
appLPleaseFillOutTheField,Please Fill Out The Field,"Por favor, rellene el campo",الرجاء ملء الحقل,Veuillez remplir le champ
appLLogIn,Login,Acceso,تسجيل الدخول,Se connecter
appLLogInWith,Login with,Iniciar sesión con,تسجيل الدخول باستخدام,Connectez-vous avec
appLSendOTP,Send OTP,Enviar OTP,إرسال OTP,Envoyer un OTP
appLWeSentCode,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí,لقد أرسلنا رمزًا مكونًا من 6 أرقام هنا,Nous avons envoyé un code à 6 chiffres ici
appLPleaseEnterOtp,Please enter the code,"Por favor, introduzca el código",الرجاء إدخال الرمز,Veuillez entrer le code
appLForgottenPass,Reset Your Forgotten Password,Restablecer su contraseña olvidada,إعادة تعيين كلمة المرور المنسية,Réinitialiser votre mot de passe oublié
appLForgottenPassSubTitle,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Toma el control de tu cuenta restableciendo tu contraseña. Nuestra página de recuperación de contraseña te guía por los pasos necesarios para restablecerla de forma segura.,تحكّم بحسابك بإعادة تعيين كلمة مرورك. تُرشدك صفحة استعادة كلمة المرور لدينا إلى الخطوات اللازمة لإعادة تعيين كلمة مرورك بأمان.,Reprenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guidera à travers les étapes nécessaires pour réinitialiser votre mot de passe en toute sécurité.
appLLoginSubtitle,"Welcome back, please login again","Bienvenido de nuevo, por favor inicia sesión nuevamente",مرحباً بك مرة أخرى، الرجاء تسجيل الدخول مرة أخرى,"Bienvenue, veuillez vous reconnecter"
appLPassword,Password,Contraseña,كلمة المرور,Mot de passe
appLEmailAddress,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse email
appLSubmit,Submit,Entregar,يُقدِّم,Soumettre
appLNewPassword,New Password,Nueva contraseña,كلمة المرور الجديدة,Nouveau mot de passe
appLOldPassword,Old Password,Contraseña anterior,كلمة المرور القديمة,Ancien mot de passe
appLConfirmPassword,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور,Confirmez le mot de passe
appLEnter,Enter,Ingresar,يدخل,Entrer
appLYouNeedToLoginFirst,You need to login first,Necesitas iniciar sesión primero,يجب عليك تسجيل الدخول أولاً,Vous devez d'abord vous connecter
appLFirstName,First Name,Nombre de pila,الاسم الأول,Prénom
appLLastName,Last Name,Apellido,اسم العائلة,Nom de famille
appLConfirm,Confirm,Confirmar,يتأكد,Confirmer
appLNoDataFound,Oops! Looks a bit empty here.,¡Ups! Parece un poco vacío aquí.,عفواً! يبدو المكان فارغاً قليلاً.,Oups ! Ça a l'air un peu vide ici.
appLHistoryNotFound,Nothing to Show Yet,Nada que mostrar todavía,لا يوجد شيء لإظهاره حتى الآن,Rien à montrer pour le moment
appLError,Error,Error,خطأ,Erreur
appLFromGallery,From Gallery,De la galería,من المعرض,De la galerie
appLFromCamera,From Camera,Desde la cámara,من الكاميرا,De la caméra
appLYouCanResend,You Can Resend,Puedes reenviar,يمكنك إعادة الإرسال,Vous pouvez renvoyer
appLResend,Resend,Reenviar,إعادة الإرسال,Renvoyer
appLHome,Home,Hogar,بيت,Maison
appLBackToHome,back To Home,volver a casa,العودة إلى الصفحة الرئيسية,retour à l'accueil
appLHistory,History,Historia,تاريخ,Histoire
appLConfirmation,Confirmation,Confirmación,تأكيد,Confirmation
appLSkip,Skip,Saltar,يتخطى,Sauter
appLPopularProducts,Popular Products,Productos populares,المنتجات الشعبية,Produits populaires
appLViewMore,View More,Ver más,عرض المزيد,Voir plus
appLAdd,Add,Agregar,يضيف,Ajouter
appLCheckOut,Checkout,Verificar,الدفع,Vérifier
appLCart,Cart,Carro,عربة التسوق,Panier
appLPromoCode,Promo Code,Código promocional,رمز ترويجي,Code promotionnel
appLSubTotal,Subtotal,Total parcial,المجموع الفرعي,Total
appLDiscount,Discount,Descuento,تخفيض,Rabais
appLCategory,Category,Categoría,فئة,Catégorie
appLCategories,Categories,Categorías,فئات,Catégories
appLTodaysSpecialOffer,Todays Special Offer,Oferta especial de hoy,عرض خاص اليوم,Offre spéciale du jour
appLIfYouSpend,If you spend,Si gastas,إذا كنت تنفق,Si vous dépensez
appLYouWillGet,you will get,Usted obtendrá,سوف تحصل عليه,tu obtiendras
appLFreeDeliveries,free deliveries,entregas gratuitas,توصيل مجاني,livraisons gratuites
appLLoginWithGoogle,Continue with google,Continuar con Google,متابعة مع جوجل,Continuer avec Google
appLProductDetails,Product Details,Detalles del producto,تفاصيل المنتج,Détails du produit
appLAvailableBalance,Available Balance,Saldo disponible,الرصيد المتاح,Solde disponible
appLProfile,Profile,Perfil,حساب تعريفي,Profil
appLDetails,Details,Detalles,تفاصيل,Détails
appLApply,Apply,Aplicar,يتقدم,Appliquer
appLUpdate,Update,Actualizar,تحديث,Mise à jour
appLMale,Male,Masculino,ذكر,Mâle
appLFemale,Female,Femenino,أنثى,Femelle
appLOkay,Okay,Bueno,تمام,D'accord
appLCancel,Cancel,Cancelar,يلغي,Annuler
appLSettings,Settings,Ajustes,إعدادات,Paramètres
appLUpdateProfile,Update Profile,Actualizar perfil,تحديث الملف الشخصي,Mettre à jour le profil
appLRegisterInfo,Register Information,Información de registro,معلومات التسجيل,Informations d'inscription
appLRegisterInfoSubtitle,Please input your details and register to your account to get access to your account.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su cuenta.,يرجى إدخال تفاصيلك والتسجيل في حسابك للحصول على إمكانية الوصول إلى حسابك.,Veuillez saisir vos coordonnées et vous inscrire à votre compte pour accéder à votre compte.
appLYourOrders,Your Orders,Sus pedidos,طلباتك,Vos commandes
appLPaymentHistory,Payment History,Historial de pagos,سجل الدفع,Historique des paiements
appLLogout,Log Out,Finalizar la sesión,تسجيل الخروج,Se déconnecter
appLPhoneNumber,Phone Number,Número de teléfono,رقم التليفون,Numéro de téléphone
appLEmail,Email,Correo electrónico,بريد إلكتروني,E-mail
appLOr,Or,O,أو,Ou
appLAddToCart,Add to Cart,añadir a la cesta,أضف إلى السلة,Ajouter au panier
appLSubtotal,Subtotal,Total parcial,المجموع الفرعي,Total
appLDelivery,Delivery,Entrega,توصيل,Livraison
appLTotal,Total,Total,المجموع,Total
appLTotalAmount,Total Amount,Importe total,المبلغ الإجمالي,Montant total
appLPaymentInfo,Payment Information,Información de pago,معلومات الدفع,Informations de paiement
appLTransactionId,Transaction ID,ID de transacción,معرف المعاملة,ID de transaction
